release_year,release_month,country_x,count_movies,title_x,avg_vote
2019.0,Nov,Canada,2,elliot the littlest reindeer,5.0
2019.0,Nov,Canada,2,dear santa,2.7
2018.0,Aug,Chile,2,héroes,7.1
2018.0,Aug,Chile,2,barrio universitario,3.5
2017.0,Sep,"France, Belgium",2,love,6.9
2017.0,Sep,"France, Belgium",2,moonwalkers,6.1
2017.0,Sep,Canada,2,dark matter,6.0
2017.0,Sep,Canada,2,swearnet: the movie,5.9
2019.0,Feb,Spain,2,anchor and hope,6.3
2019.0,Feb,Spain,2,yucatán,5.5
2019.0,Jun,Romania,2,love is a story,6.1
2019.0,Jun,Romania,2,"oh, ramona!",4.9
2017.0,Jan,Taiwan,2,what is love?,7.0
2017.0,Jan,Taiwan,2,in between,6.1
2017.0,Jan,Mexico,2,estar o no estar,5.2
2017.0,Jan,Mexico,2,semana santa,4.4
2019.0,Jul,Spain,2,boi,4.9
2019.0,Jul,Spain,2,"¡ay, mi madre!",3.8
2017.0,Jul,Spain,2,uncertain glory,7.1
2017.0,Jul,Spain,2,amar,7.0
2019.0,Jul,India,2,mauli,6.0
2019.0,Jul,India,2,bewafaa,4.3
2019.0,Dec,Nigeria,2,isoken,6.3
2019.0,Dec,Nigeria,2,lost in london,6.2
2017.0,Oct,Canada,2,pup star: better 2gether,4.8
2017.0,Oct,Canada,2,ghost patrol,4.7
2017.0,May,Canada,2,two lovers and a bear,6.1
2017.0,May,Canada,2,the adventure club,4.9
2018.0,Jul,Spain,2,el club de los buenos infieles,5.5
2018.0,Jul,Spain,2,the warning,2.7
2019.0,Jan,"United States, United Kingdom",2,black hawk down,7.7
2019.0,Jan,"United States, United Kingdom",2,across the universe,7.3
2019.0,May,Canada,2,bad blood,6.4
2019.0,May,Canada,2,lifechanger,5.4
2019.0,Dec,"United States, United Kingdom",2,marriage story,8.0
2019.0,Dec,"United States, United Kingdom",2,the rum diary,6.2
2018.0,Jul,United Kingdom,2,ex machina,7.7
2018.0,Jul,United Kingdom,2,amy,6.7
2017.0,Mar,Canada,2,"bon cop, bad cop",6.8
2017.0,Mar,Canada,2,backcountry,6.0
2017.0,Nov,Canada,2,bon cop bad cop 2,6.6
2017.0,Nov,Canada,2,undercover grandpa,5.2
2017.0,Jun,United Kingdom,2,crashing,5.5
2017.0,Jun,United Kingdom,2,amar akbar & tony,5.2
2017.0,Nov,Spain,2,grand hotel,7.4
2017.0,Nov,Spain,2,the girl from the song,5.6
2018.0,Jul,"Australia, United States",2,the bleeding edge,6.8
2018.0,Jul,"Australia, United States",2,the rover,6.4
2019.0,Mar,"France, Belgium",2,burn out,6.2
2019.0,Mar,"France, Belgium",2,budapest,6.0
2017.0,Jun,"Canada, United States",2,shimmer lake,6.2
2017.0,Jun,"Canada, United States",2,xx,4.5
2018.0,Jun,Canada,2,birthmarked,5.7
2018.0,Jun,Canada,2,the hollow,5.5
2018.0,Jan,France,2,blockbuster,5.5
2018.0,Jan,France,2,the frozen dead,5.1
2017.0,Jan,Germany,2,berlin calling,7.3
2017.0,Jan,Germany,2,stereo,6.5
2016.0,Jul,Canada,2,gridlocked,5.8
2016.0,Jul,Canada,2,between,4.2
2019.0,Nov,"United States, Germany",2,the rainmaker,7.0
2019.0,Nov,"United States, Germany",2,16 blocks,6.6
2017.0,Dec,Canada,2,sardaar ji,6.4
